,sentence,background_motivation,research_method,aim_contribution_research_object,results_findings_summary
540,"When they occur, developers have to stop their current work, understand the conflict and the surrounding code, and plan an appropriate resolution.",1,0,0,0
541,"However, not all conflicts are equally problematic---some can be easily fixed, while others might be complicated enough to need multiple people.",1,0,0,0
542,"Currently, there is not much support to help developers plan their conflict resolution.",1,0,0,0
543,"In this work, we aim to predict the difficulty of a merge conflict so as to help developers plan their conflict resolution.",0,0,1,0
544,The ability to predict the difficulty of a merge conflict and to identify the underlying factors for its difficulty can help tool builders improve their conflict detection tools to prioritize and warn developers of difficult conflicts.,1,0,0,0
545,"In this work, we investigate the characteristics of difficult merge conflicts, and automatically classify them.",0,0,1,0
546,"We analyzed 6,380 conflicts across 128 java projects and found that merge conflict difficulty can be accurately predicted (AUC of 0.76) through machine learning algorithms, such as bagging.",0,1,0,1
547,"
Generating high-quality system call sequences is not only important to testing file system implementations, but also challenging due to the astronomically large input space.",1,0,0,0
548,This paper introduces a new approach to the workload generation problem by building layered models and abstract workloads refinement.,0,0,1,0
549,This approach is instantiated as a three-layer file system model for file system workload generation.,0,0,1,0
550,"In a short-period experiment run, sequential workloads (system call sequences) manifested over a thousand crashes in mainline Linux Kernel file systems, with 12 previously unknown bugs being reported.",0,1,0,0
551,We also provide evidence that such workloads benefit other domain-specific testing techniques including crash consistency testing and concurrency testing.,0,0,0,1
552,"
Significant interest in applying Deep Neural Network (DNN) has fueled the need to support engineering of software that uses DNNs.",1,0,0,0
553,"Repairing software that uses DNNs is one such unmistakable SE need where automated tools could be beneficial; however, we do not fully understand challenges to repairing and patterns that are utilized when manually repairing DNNs.",1,0,0,0
554,What challenges should automated repair tools address?,1,0,0,0
555,What are the repair patterns whose automation could help developers?,1,0,0,0
556,Which repair patterns should be assigned a higher priority for building automated bug repair tools?,1,0,0,0
557,This work presents a comprehensive study of bug fix patterns to address these questions.,0,0,1,0
558,"We have studied 415 repairs from Stack Overflow and 555 repairs from GitHub for five popular deep learning libraries Caffe, Keras, Tensorflow, Theano, and Torch to understand challenges in repairs and bug repair patterns.",0,1,0,0
559,"Our key findings reveal that DNN bug fix patterns are distinctive compared to traditional bug fix patterns; the most common bug fix patterns are fixing data dimension and neural network connectivity; DNN bug fixes have the potential to introduce adversarial vulnerabilities; DNN bug fixes frequently introduce new bugs; and DNN bug localization, reuse of trained model, and coping with frequent releases are major challenges faced by developers when fixing bugs.",0,0,0,1
560,"We also contribute a benchmark of 667 DNN (bug, repair) instances.",0,0,0,1
561,"
Modern static analyzers often need to simultaneously check a few dozen or even hundreds of value-flow properties, causing serious scalability issues when high precision is required.",1,0,0,0
562,"A major factor to this deficiency, as we observe, is that the core static analysis engine is oblivious of the mutual synergy among the properties being checked, thus inevitably losing many optimization opportunities.",1,0,0,0
563,Our work is to leverage the inter-property awareness and to capture redundancies and inconsistencies when many properties are considered at the same time.,0,0,1,0
564,We have evaluated our approach by checking twenty value-flow properties in standard benchmark programs and ten real-world software systems.,0,1,0,0
565,The results demonstrate that our approach is more than 8× faster than existing ones but consumes only 1/7 of the memory.,0,0,0,1
566,"Such substantial improvement in analysis efficiency is not achieved by sacrificing the effectiveness: at the time of writing, thirty-nine bugs found by our approach have been fixed by developers and four of them have been assigned CVE IDs due to their security impact.",0,0,0,1
567,"
This paper presents TransRepair, a fully automatic approach for testing and repairing the consistency of machine translation systems.",0,0,1,0
568,TransRepair combines mutation with metamorphic testing to detect inconsistency bugs (without access to human oracles).,0,0,1,0
569,"It then adopts probability-reference or cross-reference to post-process the translations, in a grey-box or black-box manner, to repair the inconsistencies.",0,0,1,0
570,"Our evaluation on two state-of-the-art translators, Google Translate and Transformer, indicates that TransRepair has a high precision (99%) on generating input pairs with consistent translations.",0,1,0,1
571,"With these tests, using automatic consistency metrics and manual assessment, we find that Google Translate and Transformer have approximately 36% and 40% inconsistency bugs.",0,1,0,1
572,Black-box repair fixes 28% and 19% bugs on average for Google Translate and Transformer.,0,0,0,1
573,Grey-box repair fixes 30% bugs on average for Transformer.,0,0,0,1
574,"Manual inspection indicates that the translations repaired by our approach improve consistency in 87% of cases (degrading it in 2%), and that our repairs have better translation acceptability in 27% of the cases (worse in 8%).",0,0,0,1
575,"
In contemporary code review, the comments put by reviewers on a specific code change are immediately visible to the other reviewers involved.",1,0,0,0
576,"Could this visibility prime new reviewers' attention (due to the human's proneness to availability bias), thus biasing the code review outcome?",1,0,0,0
577,"In this study, we investigate this topic by conducting a controlled experiment with 85 developers who perform a code review and a psychological experiment.",0,1,1,0
578,"With the psychological experiment, we find that ≈70% of participants are prone to availability bias.",0,1,0,1
579,"However, when it comes to the code review, our experiment results show that participants are primed only when the existing code review comment is about a type of bug that is not normally considered; when this comment is visible, participants are more likely to find another occurrence of this type of bug.",0,0,0,1
580,"Moreover, this priming effect does not influence reviewers' likelihood of detecting other types of bugs.",0,0,0,1
581,"Our findings suggest that the current code review practice is effective because existing review comments about bugs in code changes are not negative primers, rather positive reminders for bugs that would otherwise be overlooked during code review.",0,0,0,1
582,"
Many data-driven software engineering tasks such as discovering programming patterns, mining API specifications, etc., perform source code analysis over control flow graphs (CFGs) at scale.",1,0,0,0
583,Analyzing millions of CFGs can be expensive and performance of the analysis heavily depends on the underlying CFG traversal strategy.,1,0,0,0
584,State-of-the-art analysis frameworks use a fixed traversal strategy.,1,0,0,0
585,We argue that a single traversal strategy does not fit all kinds of analyses and CFGs and propose bespoke control flow analysis (BCFA).,0,0,1,0
586,"Given a control flow analysis (CFA) and a large number of CFGs, BCFA selects the most efficient traversal strategy for each CFG.",1,0,0,0
587,"BCFA extracts a set of properties of the CFA by analyzing the code of the CFA and combines it with properties of the CFG, such as branching factor and cyclicity, for selecting the optimal traversal strategy.",0,0,0,1
588,"We have implemented BCFA in Boa, and evaluated BCFA using a set of representative static analyses that mainly involve traversing CFGs and two large datasets containing 287 thousand and 162 million CFGs.",0,1,0,0
589,Our results show that BCFA can speedup the large scale analyses by 1%-28%.,0,0,0,1
590,"Further, BCFA has low overheads; less than 0.2%, and low misprediction rate; less than 0.01%.",0,0,0,1
591,"
Grey-box fuzzing is an evolutionary process, which maintains and evolves a population of test cases with the help of a fitness function.",1,0,0,0
592,Fitness functions used by current grey-box fuzzers are not informative in that they cannot distinguish different program executions as long as those executions achieve the same coverage.,1,0,0,0
593,"The problem is that current fitness functions only consider a union of data, but not their combination.",1,0,0,0
594,"As such, fuzzers often get stuck in a local optimum during their search.",1,0,0,0
595,"In this paper, we introduce Ankou, the first grey-box fuzzer that recognizes different combinations of execution information, and present several scalability challenges encountered while designing and implementing Ankou.",0,0,1,0
596,"Our experimental results show that Ankou is 1.94× and 8.0× more effective in finding bugs than AFL and Angora, respectively.",0,0,0,1
597,"
Bottom-up program analysis has been traditionally easy to parallelize because functions without caller-callee relations can be analyzed independently.",1,0,0,0
598,"However, such function-level parallelism is significantly limited by the calling dependence - functions with caller-callee relations have to be analyzed sequentially because the analysis of a function depends on the analysis results, a.k.a., function summaries, of its callees.",1,0,0,0
599,"We observe that the calling dependence can be relaxed in many cases and, as a result, the parallelism can be improved.",1,0,0,0
600,"In this paper, we present Coyote, a framework of bottom-up data flow analysis, in which the analysis task of each function is elaborately partitioned into multiple sub-tasks to generate pipelineable function summaries.",0,0,1,0
601,"These sub-tasks are pipelined and run in parallel, even though the calling dependence exists.",0,0,1,0
602,We formalize our idea under the IFDS/IDE framework and have implemented an application to checking null-dereference bugs and taint issues in C/C++ programs.,0,0,1,0
603,"We evaluate Coyote on a series of standard benchmark programs and open-source software systems, which demonstrates significant speedup over a conventional parallel design.",0,1,0,1
604,"
Static analysis is a proven technique for catching bugs during software development.",1,0,0,0
605,"However, analysis tooling must approximate, both theoretically and in the interest of practicality.",1,0,0,0
606,False positives are a pervading manifestation of such approximations---tool configuration and customization is therefore crucial for usability and directing analysis behavior.,1,0,0,0
607,"To suppress false positives, developers readily disable bug checks or insert comments that suppress spurious bug reports.",1,0,0,0
608,Existing work shows that these mechanisms fall short of developer needs and present a significant pain point for using or adopting analyses.,1,0,0,0
609,We draw on the insight that an analysis user always has one notable ability to influence analysis behavior regardless of analyzer options and implementation: modifying their program.,1,0,0,0
610,"We present a new technique for automated, generic, and temporary code changes that tailor to suppress spurious analysis errors.",0,0,1,0
611,"We adopt a rule-based approach where simple, declarative templates describe general syntactic changes for code patterns that are known to be problematic for the analyzer.",0,1,0,0
612,Our technique promotes program transformation as a general primitive for improving the fidelity of analysis reports (we treat any given analyzer as a black box).,0,1,0,0
613,"We evaluate using five different static analyzers supporting three different languages (C, Java, and PHP) on large, real world programs (up to 800KLOC).",0,1,0,0
614,We show that our approach is effective in sidestepping long-standing and complex issues in analysis implementations.,0,0,0,1
615,"
As Android platform evolves in a fast pace, API-related compatibility issues become a significant challenge for developers.",1,0,0,0
616,"To handle an incompatible API invocation, developers mainly have two choices: merely performing sufficient checks to avoid invoking incompatible APIs on platforms that do not support them, or gracefully providing replacement implementations on those incompatible platforms.",1,0,0,0
617,"As providing more consistent app behaviors, the latter one is more recommended and more challenging to adopt.",1,0,0,0
618,"However, it is still unknown how these issues are handled in the real world, do developers meet difficulties and what can we do to help them.",1,0,0,0
619,"In light of this, this paper performs the first large-scale study on the current practice of handling evolution-induced API compatibility issues in about 300,000 Android market apps, and more importantly, their solutions (if exist).",0,1,1,0
620,"Actually, it is in general very challenging to determine if developers have put in counter-measure for a compatibility issue, as different APIs have diverse behaviors, rendering various repair.",1,0,0,0
621,"To facilitate a large-scale study, this paper proposes RAPID, an automated tool to determine whether a compatibility issue has been addressed or not, by incorporating both static analysis and machine learning techniques.",0,0,1,0
622,Results show that our trained classifier is quite effective by achieving a F1-score of 95.21% and 91.96% in the training stage and the validation stage respectively.,0,0,0,1
623,"With the help of RAPID, our study yields many interesting findings, e.g. developers are not willing to provide alternative implementations when handling incompatible API invocations (only 38.4%); for those incompatible APIs that Google gives replacement recommendations, the ratio of providing alternative implementations is significantly higher than those without recommendations; developers find more ways to repair compatibility issues than Google's recommendations and the knowledge acquired from these experienced developers would be extremely useful to novice developers and may significantly improve the current status of compatibility issue handling.",0,0,0,1
624,"
Message passing is the standard paradigm of programming in high-performance computing.",1,0,0,0
625,"However, verifying Message Passing Interface (MPI) programs is challenging, due to the complex program features (such as non-determinism and non-blocking operations).",1,0,0,0
626,"In this work, we present MPI symbolic verifier (MPI-SV), the first symbolic execution based tool for automatically verifying MPI programs with non-blocking operations.",0,0,1,0
627,MPI-SV combines symbolic execution and model checking in a synergistic way to tackle the challenges in MPI program verification.,0,0,1,0
628,The synergy improves the scalability and enlarges the scope of verifiable properties.,0,0,0,1
629,We have implemented MPI-SV1 and evaluated it with 111 real-world MPI verification tasks.,0,1,0,0
630,"The pure symbolic execution-based technique successfully verifies 61 out of the 111 tasks (55%) within one hour, while in comparison, MPI-SV verifies 100 tasks (90%).",0,0,0,1
631,"On average, compared with pure symbolic execution, MPI-SV achieves 19x speedups on verifying the satisfaction of the critical property and 5x speedups on finding violations.",0,0,0,1
632,"
Identifying and optimizing open participation is essential to the success of open software development.",1,0,0,0
633,Existing studies highlighted the importance of worker recommendation for crowdtesting tasks in order to detect more bugs with fewer workers.,1,0,0,0
634,"However, these studies mainly focus on one-time recommendations with respect to the initial context at the beginning of a new task.",1,0,0,0
635,This paper argues the need for in-process crowdtesting worker recommendation.,0,0,1,0
636,"We motivate this study through a pilot study, revealing the prevalence of long-sized non-yielding windows, i.e., no new bugs are revealed in consecutive test reports during the process of a crowdtesting task.",0,1,0,0
637,"This indicates the potential opportunity for accelerating crowdtesting by recommending appropriate workers in a dynamic manner, so that the non-yielding windows could be shortened.",0,0,0,1
638,"To that end, this paper proposes a context-aware in-process crowdworker recommendation approach, iRec, to detect more bugs earlier and potentially shorten the non-yielding windows.",0,0,0,1
639,"It consists of three main components: 1) the modeling of dynamic testing context, 2) the learning-based ranking component, and 3) the diversity-based re-ranking component.",0,0,0,1
640,"The evaluation is conducted on 636 crowdtesting tasks from one of the largest crowdtesting platforms, and results show the potential of iRec in improving the cost-effectiveness of crowdtesting by saving the cost and shortening the testing process.",0,1,0,1
641,"
The growing application of deep neural networks in safety-critical domains makes the analysis of faults that occur in such systems of enormous importance.",1,0,0,0
642,In this paper we introduce a large taxonomy of faults in deep learning (DL) systems.,0,0,1,0
643,"We have manually analysed 1059 artefacts gathered from GitHub commits and issues of projects that use the most popular DL frameworks (TensorFlow, Keras and PyTorch) and from related Stack Overflow posts.",0,1,0,0
644,Structured interviews with 20 researchers and practitioners describing the problems they have encountered in their experience have enriched our taxonomy with a variety of additional faults that did not emerge from the other two sources.,0,1,0,0
645,"Our final taxonomy was validated with a survey involving an additional set of 21 developers, confirming that almost all fault categories (13/15) were experienced by at least 50% of the survey participants.",0,1,0,1
646,"
Traceability is a fundamental component of the modern software development process that helps to ensure properly functioning, secure programs.",1,0,0,0
647,"Due to the high cost of manually establishing trace links, researchers have developed automated approaches that draw relationships between pairs of textual software artifacts using similarity measures.",1,0,0,0
648,"However, the effectiveness of such techniques are often limited as they only utilize a single measure of artifact similarity and cannot simultaneously model (implicit and explicit) relationships across groups of diverse development artifacts.",1,0,0,0
649,"In this paper, we illustrate how these limitations can be overcome through the use of a tailored probabilistic model.",0,0,1,0
650,"To this end, we design and implement a HierarchiCal PrObabilistic Model for SoftwarE Traceability (Comet) that is able to infer candidate trace links.",0,0,1,0
651,Comet is capable of modeling relationships between artifacts by combining the complementary observational prowess of multiple measures of textual similarity.,0,0,1,0
652,"Additionally, our model can holistically incorporate information from a diverse set of sources, including developer feedback and transitive (often implicit) relationships among groups of software artifacts, to improve inference accuracy.",0,0,1,0
653,We conduct a comprehensive empirical evaluation of Comet that illustrates an improvement over a set of optimally configured baselines of ≈14% in the best case and ≈5% across all subjects in terms of average precision.,0,1,0,0
654,"The comparative effectiveness of Comet in practice, where optimal configuration is typically not possible, is likely to be higher.",0,0,0,1
655,"Finally, we illustrate Comet's potential for practical applicability in a survey with developers from Cisco Systems who used a prototype Comet Jenkins plugin.",0,0,0,1
656,"
API usage directives in official API documentation describe the contracts, constraints and guidelines for using APIs in natural language.",1,0,0,0
657,"Through the investigation of API misuse scenarios on Stack Overflow, we identify three barriers that hinder the understanding of the API usage directives, i.e., lack of specific usage context, indirect relationships to cooperative APIs, and confusing APIs with subtle differences.",1,0,0,0
658,"To overcome these barriers, we develop a text mining approach to discover the crowdsourced API misuse scenarios on Stack Overflow and extract from these scenarios erroneous code examples and patches, as well as related API and confusing APIs to construct demystification reports to help developers understand the official API usage directives described in natural language.",0,0,1,0
659,We apply our approach to API usage directives in official Android API documentation and android-tagged discussion threads on Stack Overflow.,0,1,0,0
660,"We extract 159,116 API misuse scenarios for 23,969 API usage directives of 3138 classes and 7471 methods, from which we generate the demystification reports.",0,1,0,0
661,Our manual examination confirms that the extracted information in the generated demystification reports are of high accuracy.,0,0,0,1
662,"By a user study of 14 developers on 8 API-misuse related error scenarios, we show that our demystification reports help developer understand and debug API-misuse related program errors faster and more accurately, compared with reading only plain API usage-directive sentences.",0,0,0,1
663,"
Statistical language modeling techniques have successfully been applied to large source code corpora, yielding a variety of new software development tools, such as tools for code suggestion, improving readability, and API migration.",1,0,0,0
664,"A major issue with these techniques is that code introduces new vocabulary at a far higher rate than natural language, as new identifier names proliferate.",1,0,0,0
665,"Both large vocabularies and out-of-vocabulary issues severely affect Neural Language Models (NLMs) of source code, degrading their performance and rendering them unable to scale.",1,0,0,0
666,"In this paper, we address this issue by: 1) studying how various modelling choices impact the resulting vocabulary on a large-scale corpus of 13,362 projects; 2) presenting an open vocabulary source code NLM that can scale to such a corpus, 100 times larger than in previous work; and 3) showing that such models outperform the state of the art on three distinct code corpora (Java, C, Python).",0,0,1,0
667,"To our knowledge, these are the largest NLMs for code that have been reported.",1,0,0,0
668,"All datasets, code, and trained models used in this work are publicly available.",0,0,0,1
669,"
Timing side channels arise in software when a program's execution time can be correlated with security-sensitive program input.",1,0,0,0
670,Recent results on software side-channel detection focus on analysis of program's source code.,1,0,0,0
671,"However, runtime behavior, in particular optimizations introduced during just-in-time (JIT) compilation, can impact or even introduce timing side channels in programs.",1,0,0,0
672,"In this paper, we present a technique for automatically detecting such JIT-induced timing side channels in Java programs.",0,0,1,0
673,We first introduce patterns to detect partitions of secret input potentially separable by side channels.,0,0,1,0
674,Then we present an automated approach for exploring behaviors of the Java Virtual Machine (JVM) to identify states where timing channels separating these partitions arise.,0,0,1,0
675,We evaluate our technique on three datasets used in recent work on side-channel detection.,0,1,0,0
676,"We find that many code variants labeled ""safe"" with respect to side-channel vulnerabilities are in fact vulnerable to JIT-induced timing side channels.",0,0,0,1
677,Our results directly contradict the conclusions of four separate state-of-the-art program analysis tools for side-channel detection and demonstrate that JIT-induced side channels are prevalent and can be detected automatically.,0,0,0,1
678,"
To battle the ever-increasing Android malware, malware family classification, which classifies malware with common features into a malware family, has been proposed as an effective malware analysis method.",1,0,0,0
679,Several machine-learning based approaches have been proposed for the task of malware family classification.,1,0,0,0
680,"Our study shows that malware families suffer from several data imbalance, with many families with only a small number of malware applications (referred to as few shot malware families in this work).",0,0,1,0
681,"Unfortunately, this issue has been overlooked in existing approaches.",1,0,0,0
682,"Although existing approaches achieve high classification performance at the overall level and for large malware families, our experiments show that they suffer from poor performance and generalizability for few shot malware families, and traditionally downsampling method cannot solve the problem.",0,0,0,1
683,"To address the challenge in few shot malware family classification, we propose a novel siamese-network based learning method, which allows us to train an effective MultiLayer Perceptron (MLP) network for embedding malware applications into a real-valued, continuous vector space by contrasting the malware applications from the same or different families.",0,0,1,0
684,"In the embedding space, the performance of malware family classification can be significantly improved for all scales of malware families, especially for few shot malware families, which also leads to the significant performance improvement at the overall level.",0,0,0,1
685,"
Source code summarization aims to automatically generate concise summaries of source code in natural language texts, in order to help developers better understand and maintain source code.",1,0,0,0
686,"Traditional work generates a source code summary by utilizing information retrieval techniques, which select terms from original source code or adapt summaries of similar code snippets.",1,0,0,0
687,Recent studies adopt Neural Machine Translation techniques and generate summaries from code snippets using encoder-decoder neural networks.,1,0,0,0
688,The neural-based approaches prefer the high-frequency words in the corpus and have trouble with the low-frequency ones.,1,0,0,0
689,"In this paper, we propose a retrieval-based neural source code summarization approach where we enhance the neural model with the most similar code snippets retrieved from the training set.",0,0,1,0
690,Our approach can take advantages of both neural and retrieval-based techniques.,0,0,1,0
691,"Specifically, we first train an attentional encoder-decoder model based on the code snippets and the summaries in the training set; Second, given one input code snippet for testing, we retrieve its two most similar code snippets in the training set from the aspects of syntax and semantics, respectively; Third, we encode the input and two retrieved code snippets, and predict the summary by fusing them during decoding.",0,1,0,0
692,We conduct extensive experiments to evaluate our approach and the experimental results show that our proposed approach can improve the state-of-the-art methods.,0,1,0,1
693,"
In object-oriented languages, constructors often have a combination of required and optional formal parameters.",1,0,0,0
694,It is tedious and inconvenient for programmers to write a constructor by hand for each combination.,1,0,0,0
695,"The multitude of constructors is error-prone for clients, and client code is difficult to read due to the large number of constructor arguments.",1,0,0,0
696,"Therefore, programmers often use design patterns that enable more flexible object construction---the builder pattern, dependency injection, or factory methods.",1,0,0,0
697,"However, these design patterns can be too flexible: not all combinations of logical parameters lead to the construction of well-formed objects.",1,0,0,0
698,"When a client uses the builder pattern to construct an object, the compiler does not check that a valid set of values was provided.",1,0,0,0
699,"Incorrect use of builders can lead to security vulnerabilities, run-time crashes, and other problems.",1,0,0,0
700,"This work shows how to statically verify uses of object construction, such as the builder pattern.",0,0,1,0
701,"Using a simple specification language, programmers specify which combinations of logical arguments are permitted.",0,0,0,1
702,Our compile-time analysis detects client code that may construct objects unsafely.,0,0,0,1
703,"Our analysis is based on a novel special case of typestate checking, accumulation analysis, that modularly reasons about accumulations of method calls.",0,1,0,0
704,"Because accumulation analysis does not require precise aliasing information for soundness, our analysis scales to industrial programs.",0,1,0,0
705,"We evaluated it on over 9 million lines of code, discovering defects which included previously-unknown security vulnerabilities and potential null-pointer violations in heavily-used open-source codebases.",0,1,0,0
706,Our analysis has a low false positive rate and low annotation burden.,0,0,0,1
707,Our implementation and experimental data are publicly available.,0,0,0,1
708,"
Code comments provide abundant information that have been leveraged to help perform various software engineering tasks, such as bug detection, specification inference, and code synthesis.",1,0,0,0
709,"However, developers are less motivated to write and update comments, making it infeasible and error-prone to leverage comments to facilitate software engineering tasks.",1,0,0,0
710,"In this paper, we propose to leverage program analysis to systematically derive, refine, and propagate comments.",0,0,1,0
711,"For example, by propagation via program analysis, comments can be passed on to code entities that are not commented such that code bugs can be detected leveraging the propagated comments.",0,0,1,0
712,"Developers usually comment on different aspects of code elements like methods, and use comments to describe various contents, such as functionalities and properties.",1,0,0,0
713,"To more effectively utilize comments, a fine-grained and elaborated taxonomy of comments and a reliable classifier to automatically categorize a comment are needed.",1,0,0,0
714,"In this paper, we build a comprehensive taxonomy and propose using program analysis to propagate comments.",0,0,1,0
715,"We develop a prototype CPC, and evaluate it on 5 projects.",0,1,0,0
716,The evaluation results demonstrate 41573 new comments can be derived by propagation from other code locations with 88% accuracy.,0,0,0,1
717,"Among them, we can derive precise functional comments for 87 native methods that have neither existing comments nor source code.",0,0,0,1
718,"Leveraging the propagated comments, we detect 37 new bugs in open source large projects, 30 of which have been confirmed and fixed by developers, and 304 defects in existing comments (by looking at inconsistencies between existing and propagated comments), including 12 incomplete comments and 292 wrong comments.",0,0,0,1
719,This demonstrates the effectiveness of our approach.,0,0,0,1
720,Our user study confirms propagated comments align well with existing comments in terms of quality.,0,1,0,1
721,"
Application programming interfaces (APIs) have become ubiquitous in software development.",1,0,0,0
722,"However, external APIs are not guaranteed to contain every desirable feature, nor are they immune to software defects.",1,0,0,0
723,"Therefore, API users will sometimes be faced with situations where a current API does not satisfy all of their requirements, but migrating to another API is costly.",1,0,0,0
724,"In these cases, due to the lack of communication channels between API developers and users, API users may intentionally bypass an existing API after inquiring into workarounds for their API problems with online communities.",1,0,0,0
725,"This mechanism takes the API developer out of the conversation, potentially leaving API defects unreported and desirable API features undiscovered.",1,0,0,0
726,In this paper we explore API workaround inquiries from API users on Stack Overflow.,0,0,1,0
727,"We uncover general reasons why API users inquire about API workarounds, and general solutions to API workaround requests.",0,0,1,0
728,"Furthermore, using workaround implementations in Stack Overflow answers, we develop three API workaround implementation patterns.",0,0,1,1
729,We identify instances of these patterns in real-life open source projects and determine their value for API developers from their responses to feature requests based on the identified API workarounds.,0,0,0,1
730,"
While CUDA has become a mainstream parallel computing platform and programming model for general-purpose GPU computing, how to effectively and efficiently detect CUDA synchronization bugs remains a challenging open problem.",1,0,0,0
731,"In this paper, we propose the first lightweight CUDA synchronization bug detection framework, namely Simulee, to model CUDA program execution by interpreting the corresponding LLVM bytecode and collecting the memory-access information for automatically detecting general CUDA synchronization bugs.",0,0,1,0
732,"To evaluate the effectiveness and efficiency of Simulee, we construct a benchmark with 7 popular CUDA-related projects from GitHub, upon which we conduct an extensive set of experiments.",0,1,0,0
733,"The experimental results suggest that Simulee can detect 21 out of the 24 manually identified bugs in our preliminary study and also 24 previously unknown bugs among all projects, 10 of which have already been confirmed by the developers.",0,0,0,1
734,"Furthermore, Simulee significantly outperforms state-of-the-art approaches for CUDA synchronization bug detection.",0,0,0,1
735,"
Self-adaptive systems often employ dynamic programming or similar techniques to select optimal adaptations at run-time.",1,0,0,0
736,"These techniques suffer from the ""curse of dimensionality"", increasing the cost of run-time adaptation decisions.",1,0,0,0
737,We propose a novel approach that improves upon the state-of-the-art proactive self-adaptation techniques to reduce the number of possible adaptations that need be considered for each run-time adaptation decision.,0,0,1,0
738,"The approach, realized in a tool called Thallium, employs a combination of automated formal modeling techniques to (i) analyze a structural model of the system showing which configurations are reachable from other configurations and (ii) compute the utility that can be generated by the optimal adaptation over a bounded horizon in both the best- and worst-case scenarios.",0,0,1,0
739,"It then constructs triangular possibility values using those optimized bounds to automatically compare adjacent adaptations for each configuration, keeping only the alternatives with the best range of potential results.",0,0,1,0
740,"The experimental results corroborate Thallium's ability to significantly reduce the number of states that need to be considered with each adaptation decision, freeing up vital resources at run-time.",0,0,0,1
741,"
Mobile banking apps, belonging to the most security-critical app category, render massive and dynamic transactions susceptible to security risks.",1,0,0,0
742,"Given huge potential financial loss caused by vulnerabilities, existing research lacks a comprehensive empirical study on the security risks of global banking apps to provide useful insights and improve the security of banking apps.",1,0,0,0
743,"Since data-related weaknesses in banking apps are critical and may directly cause serious financial loss, this paper first revisits the state-of-the-art available tools and finds that they have limited capability in identifying data-related security weaknesses of banking apps.",0,0,1,0
744,"To complement the capability of existing tools in data-related weakness detection, we propose a three-phase automated security risk assessment system, named Ausera, which leverages static program analysis techniques and sensitive keyword identification.",0,0,1,0
745,"By leveraging Ausera, we collect 2,157 weaknesses in 693 real-world banking apps across 83 countries, which we use as a basis to conduct a comprehensive empirical study from different aspects, such as global distribution and weakness evolution during version updates.",0,1,0,0
746,We find that apps owned by subsidiary banks are always less secure than or equivalent to those owned by parent banks.,0,0,0,1
747,"In addition, we also track the patching of weaknesses and receive much positive feedback from banking entities so as to improve the security of banking apps in practice.",0,1,0,0
748,We further find that weaknesses derived from outdated versions of banking apps or third-party libraries are highly prone to being exploited by attackers.,0,0,0,1
749,"To date, we highlight that 21 banks have confirmed the weaknesses we reported (including 126 weaknesses in total).",0,0,0,1
750,"We also exchange insights with 7 banks, such as HSBC in UK and OCBC in Singapore, via in-person or online meetings to help them improve their apps.",0,1,0,0
751,"We hope that the insights developed in this paper will inform the communities about the gaps among multiple stakeholders, including banks, academic researchers, and third-party security companies.",0,0,0,1
752,"
Floating point is widely used in software to emulate arithmetic over reals.",1,0,0,0
753,"Unfortunately, floating point leads to rounding errors that propagate and accumulate during execution.",1,0,0,0
754,Generating inputs to maximize the numerical error is critical when evaluating the accuracy of floating-point code.,1,0,0,0
755,"In this paper, we formulate the problem of generating high error-inducing floating-point inputs as a code coverage maximization problem solved using symbolic execution.",0,0,1,0
756,"Specifically, we define inaccuracy checks to detect large precision loss and cancellation.",0,0,1,0
757,"We inject these checks at strategic program locations to construct specialized branches that, when covered by a given input, are likely to lead to large errors in the result.",0,1,0,0
758,"We apply symbolic execution to generate inputs that exercise these specialized branches, and describe optimizations that make our approach practical.",0,1,0,0
759,We implement a tool named FPGen and present an evaluation on 21 numerical programs including matrix computation and statistics libraries.,0,1,0,0
760,"We show that FPGen exposes errors for 20 of these programs and triggers errors that are, on average, over 2 orders of magnitude larger than the state of the art.",0,0,0,1
761,"
Software testing is an essential part of the software lifecycle and requires a substantial amount of time and effort.",1,0,0,0
762,It has been estimated that software developers spend close to 50% of their time on testing the code they write.,1,0,0,0
763,"For these reasons, a long standing goal within the research community is to (partially) automate software testing.",1,0,0,0
764,"While several techniques and tools have been proposed to automatically generate test methods, recent work has criticized the quality and usefulness of the assert statements they generate.",1,0,0,0
765,"Given a test method and a focal method (i.e., the main method under test), Atlas can predict a meaningful assert statement to assess the correctness of the focal method.",0,0,1,0
766,We applied Atlas to thousands of test methods from GitHub projects and it was able to predict the exact assert statement manually written by developers in 31% of the cases when only considering the top-1 predicted assert.,0,1,0,0
767,"When considering the top-5 predicted assert statements, Atlas is able to predict exact matches in 50% of the cases.",0,0,0,1
768,"These promising results hint to the potential usefulness of our approach as (i) a complement to automatic test case generation techniques, and (ii) a code completion support for developers, who can benefit from the recommended assert statements while writing test code.",0,0,0,1
769,"
Multithreaded programs can have deadlocks, even after deployment, so users may want to run deadlock tools on deployed programs.",1,0,0,0
770,"However, current deadlock predictors such as MagicLock and UnDead have large overheads that make them impractical for end-user deployment and confine their use to development time.",1,0,0,0
771,Such overhead stems from running an exponential-time algorithm on a large execution trace.,1,0,0,0
772,"In this paper, we present the first low-overhead deadlock predictor, called AirLock, that is fit for both in-house testing and deployed programs.",0,0,1,0
